id,fwd,bkwd,author_name
265,1,7,Guillem de l'Olivier d'Arle
266,1,4,Tomas
267,1,11,Torcafol
268,1,2,Guillem de Salaignac
269,1,3,Joan Esteve
270,1,18,Peire Guillem de Luzerna
271,1,5,Oste
272,1,2,Uc de l'Escura
273,1,2,Guillem Gasmar
274,1,2,Guillem Magret
275,1,13,Guiraut de Salaignac
276,1,8,Hue de Saint Quentin
277,1,2,Jacme Grill
278,1,2,Peire Duran
279,1,2,Lambert
280,1,2,Lantelm
281,1,9,Lantelmet de l'Aguillo
282,1,2,Lanza Marques
283,1,2,Le Trobaire de Villa-Arnaut
284,1,2,lo Coms de Blandra
285,1,2,Lo Vesques de Clarmon
286,1,13,Peire d'Estanh
287,1,8,Luquet Gatelus
288,1,2,Maenard Ros
289,1,13,Marques
290,1,11,Raimbaut d'Eira
291,1,2,Thibaut IV de Champagne
292,1,4,Montan
293,1,2,Peire Imbert
294,1,2,Peire
295,1,2,Peire Basc
296,1,2,Uc de Maensac
297,1,5,Uc de Mataplana
298,1,2,Raimon de Castelnou
299,1,3,Raimon de Cornet
300,1,3,Peire de Bussignac
301,1,10,Vaquier
302,1,13,Rainaut
303,1,2,Peire de Castelnou
304,1,2,Richard I of England
305,1,13,Raimbaut de Beljoc
306,1,8,Perseval Doria
307,1,8,Peire Milo
308,1,2,Peire Torat
309,1,3,Raimon Bistortz d'Arle
310,1,8,Ricaut Bonomel
311,1,5,Taurel
312,1,2,Uc de Murel
