id,label,in_degree,out_degree
174,Author of BdT 461.170b,1,0
175,Author of BdT 461.175a,1,0
176,Author of BdT 461.200b,1,0
177,Author of BdT 461.202,1,0
178,Author of BdT 461.204,1,0
179,Author of BdT 461.21,1,0
180,Author of BdT 461.214,1,0
181,Author of BdT 461.214a,1,0
182,Author of BdT 461.215a,1,0
183,Author of BdT 461.218a,1,0
184,Author of BdT 461.220,2,0
185,Author of BdT 461.220bis,1,0
186,Author of BdT 461.234,1,0
187,Author of BdT 461.23a,1,0
188,Author of BdT 461.24,1,0
189,Author of BdT 461.244,1,0
190,Author of BdT 461.27a,1,0
191,Lanfranc Cigala,13,0
192,Author of BdT 461.33,1,0
193,Author of BdT 461.34,1,0
194,Author of BdT 461.36,1,0
195,Author of BdT 461.43,3,0
196,Author of BdT 461.60,1,0
197,Author of BdT 461.70a,1,0
198,Author of BdT 461.74,1,0
199,Author of BdT 461.76,1,0
200,Author of BdT 461.80,1,0
201,Author of BdT 461.94,1,0
202,Author of BdT 461.96,1,0
203,Author of BdT 461.98,1,0
204,Author of BdT 82.50,2,0
205,Author of RS 1388a,1,0
206,Author of RS 1459,1,0
207,Author of RS 1506,1,0
208,Author of RS 1780,1,0
209,Author of RS 1934,1,0
210,Author of RS 365,1,0
211,Author of RS 390,1,0
212,Author of RS 898,1,0
213,Berenguier de Poivent,1,0
214,Berenguier de Poizrengier,1,0
215,Bernardo,1,0
216,Matieu de Caerci,1,0
217,Mir Bernart,1,0
218,Mola,1,0
219,Bernart de la Barta,2,0
220,Bernart de Rovenac,2,0
221,Bernart de Tot lo mon,2,0
222,Bernart Sicart de Marvejols,1,0
223,Bernger von Horheim,1,0
224,Enric II de Rodez,5,0
225,Faure,3,0
226,Folquet de Lunel,2,0
227,Bertran de Born lo fills,2,0
228,Bertran de Paris de Roergue,1,0
229,Blacasset,7,0
230,Pelizier,3,0
231,Bonafe,2,0
232,Bonafos,1,0
233,Guillem de Montaignagol,4,0
234,Bonifaci de Castellana,3,0
235,Cadenet,2,0
236,Carenza,1,0
237,Cavaire,1,0
238,Chardo,1,0
239,Charles I d'Anjou,1,0
240,Nicolet de Turin,2,0
241,Palais,2,0
242,Conon de Betune,1,0
243,Raimon,1,0
244,Dalfinet,1,0
245,Daude de Carlus,1,0
246,Duran sartor de Paernas (de Carpentras),1,0
247,Eble de Saignas,1,0
248,Esquileta,1,0
249,Falconet,4,0
250,Felip de Valenza,1,0
251,Fortunier,1,0
252,Reforsat de Tres,3,0
253,Rofian,1,0
254,Giraut Riquier,1,0
255,Granet,3,0
256,Sifre,1,0
257,Peire de la Mula,2,0
258,Gui de Glotos,1,0
259,Peire del Vilar,1,0
260,Guilhem Alaman,1,0
261,Guillaume le Vinier,1,0
262,Guillem Anelier de Toloza,1,0
263,Marcabru II,2,0
264,Guillem de Durfort,2,0
265,Guillem de l'Olivier d'Arle,3,0
266,Tomas,1,0
267,Torcafol,4,0
268,Guillem de Salaignac,1,0
269,Joan Esteve,2,0
270,Peire Guillem de Luzerna,2,0
271,Oste,1,0
272,Uc de l'Escura,1,0
273,Guillem Gasmar,1,0
274,Guillem Magret,1,0
275,Guiraut de Salaignac,2,0
276,Hue de Saint Quentin,1,0
277,Jacme Grill,1,0
278,Peire Duran,1,0
279,Lambert,1,0
280,Lantelm,1,0
281,Lantelmet de l'Aguillo,1,0
282,Lanza Marques,1,0
283,Le Trobaire de Villa-Arnaut,1,0
284,lo Coms de Blandra,1,0
285,Lo Vesques de Clarmon,1,0
286,Peire d'Estanh,2,0
287,Luquet Gatelus,1,0
288,Maenard Ros,1,0
289,Marques,3,0
290,Raimbaut d'Eira,2,0
291,Thibaut IV de Champagne,1,0
292,Montan,1,0
293,Peire Imbert,1,0
294,Peire,1,0
295,Peire Basc,1,0
296,Uc de Maensac,1,0
297,Uc de Mataplana,1,0
298,Raimon de Castelnou,2,0
299,Raimon de Cornet,2,0
300,Peire de Bussignac,2,0
301,Vaquier,1,0
302,Rainaut,2,0
303,Peire de Castelnou,1,0
304,Richard I of England,1,0
305,Raimbaut de Beljoc,2,0
306,Perseval Doria,1,0
307,Peire Milo,1,0
308,Peire Torat,1,0
309,Raimon Bistortz d'Arle,1,0
310,Ricaut Bonomel,1,0
311,Taurel,1,0
312,Uc de Murel,1,0
